    INFO: 2024-09-18 11:11:13,586:               log.py:   20: Logging to /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/mdpdf.log
   DEBUG: 2024-09-18 11:11:13,744:      pdf_renderer.py:  470: printSegment: pi^D > 
   DEBUG: 2024-09-18 11:11:13,745:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,745:      pdf_renderer.py:  470: printSegment: pi^F 
   DEBUG: 2024-09-18 11:11:13,745:      pdf_renderer.py:  470: printSegment: ;
   DEBUG: 2024-09-18 11:11:13,746:      pdf_renderer.py:  470: printSegment:  (
   DEBUG: 2024-09-18 11:11:13,746:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,747:      pdf_renderer.py:  470: printSegment: pi 
   DEBUG: 2024-09-18 11:11:13,747:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,747:      pdf_renderer.py:  470: printSegment: text{ is inflation rate})$, the domestic currency depreciates
   DEBUG: 2024-09-18 11:11:13,748:      pdf_renderer.py:  470: printSegment: !
   DEBUG: 2024-09-18 11:11:13,748:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,749:      pdf_renderer.py:  470: printSegment: $$e = 
   DEBUG: 2024-09-18 11:11:13,749:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,749:      pdf_renderer.py:  470: printSegment: frac{E 
   DEBUG: 2024-09-18 11:11:13,750:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,750:      pdf_renderer.py:  470: printSegment: times
   DEBUG: 2024-09-18 11:11:13,751:      pdf_renderer.py:  470: printSegment: P^D}{P^F}$$
   DEBUG: 2024-09-18 11:11:13,751:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,751:      pdf_renderer.py:  470: printSegment: $$
   DEBUG: 2024-09-18 11:11:13,752:      pdf_renderer.py:  470: printSegment: %
   DEBUG: 2024-09-18 11:11:13,752:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,752:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,753:      pdf_renderer.py:  470: printSegment: Delta e = 
   DEBUG: 2024-09-18 11:11:13,753:      pdf_renderer.py:  470: printSegment: %
   DEBUG: 2024-09-18 11:11:13,754:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,754:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,754:      pdf_renderer.py:  470: printSegment: Delta E + (
   DEBUG: 2024-09-18 11:11:13,755:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,755:      pdf_renderer.py:  470: printSegment: pi^D - 
   DEBUG: 2024-09-18 11:11:13,756:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,756:      pdf_renderer.py:  470: printSegment: pi^F)$$
   DEBUG: 2024-09-18 11:11:13,756:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,757:      pdf_renderer.py:  470: printSegment: Note that $
   DEBUG: 2024-09-18 11:11:13,757:      pdf_renderer.py:  470: printSegment: %
   DEBUG: 2024-09-18 11:11:13,758:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,758:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,759:      pdf_renderer.py:  470: printSegment: Delta e$ is the percentage change in the
   DEBUG: 2024-09-18 11:11:13,759:      pdf_renderer.py:  470: printSegment: real exchange rate.
   DEBUG: 2024-09-18 11:11:13,760:      pdf_renderer.py:  470: printSegment: However, note that if PPP holds, $e = 1 
   DEBUG: 2024-09-18 11:11:13,760:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,761:      pdf_renderer.py:  470: printSegment: implies 
   DEBUG: 2024-09-18 11:11:13,761:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,762:      pdf_renderer.py:  470: printSegment: Delta e = 0$
   DEBUG: 2024-09-18 11:11:13,762:      pdf_renderer.py:  470: printSegment: Hence $0 = 
   DEBUG: 2024-09-18 11:11:13,762:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,763:      pdf_renderer.py:  470: printSegment: Delta E + (
   DEBUG: 2024-09-18 11:11:13,763:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,764:      pdf_renderer.py:  470: printSegment: pi^F - 
   DEBUG: 2024-09-18 11:11:13,764:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,765:      pdf_renderer.py:  470: printSegment: pi^D) 
   DEBUG: 2024-09-18 11:11:13,765:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,765:      pdf_renderer.py:  470: printSegment: implies 
   DEBUG: 2024-09-18 11:11:13,766:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,766:      pdf_renderer.py:  470: printSegment: Delta E = 
   DEBUG: 2024-09-18 11:11:13,767:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,767:      pdf_renderer.py:  470: printSegment: pi^F - 
   DEBUG: 2024-09-18 11:11:13,768:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,768:      pdf_renderer.py:  470: printSegment: pi^D$
   DEBUG: 2024-09-18 11:11:13,769:      pdf_renderer.py:  470: printSegment: Hence the difference in the inflation rates explain nominal exchage rate difference in the long-term.
   DEBUG: 2024-09-18 11:11:13,769:      pdf_renderer.py:  470: printSegment: Limitations to the PPP
   DEBUG: 2024-09-18 11:11:13,770:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,771:      pdf_renderer.py:  470: printSegment: Real-world complications keep PPP from being a complete explanation of exchange rates:
   DEBUG: 2024-09-18 11:11:13,771:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,772:      pdf_renderer.py:  470: printSegment: Not all products can be traded internationally
   DEBUG: 2024-09-18 11:11:13,772:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,773:      pdf_renderer.py:  470: printSegment: Products are differentiated
   DEBUG: 2024-09-18 11:11:13,773:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,774:      pdf_renderer.py:  470: printSegment: Governments impose barriers to trade, e.g., tariffs and quotas
   DEBUG: 2024-09-18 11:11:13,774:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,775:      pdf_renderer.py:  470: printSegment: A tariff is a tax a government imposes on imports.
   DEBUG: 2024-09-18 11:11:13,776:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,777:      pdf_renderer.py:  470: printSegment: A quota is a limit a government imposes on the quantity of a good
   DEBUG: 2024-09-18 11:11:13,777:      pdf_renderer.py:  470: printSegment: that can be imported.
   DEBUG: 2024-09-18 11:11:13,778:      pdf_renderer.py:  470: printSegment: Should Big Macs Have the Same Price Everywhere?
   DEBUG: 2024-09-18 11:11:13,779:      pdf_renderer.py:  235: /Users/isaacleong/Library/CloudStorage/OneDrive-AustralianNationalUniversity/work/Year_2/Sem_2/ECON2026/Week7/big_mac_prices.png, 964, 608
   DEBUG: 2024-09-18 11:11:13,794:      pdf_renderer.py:  470: printSegment: A Demand and Supply Model of Short-Run
   DEBUG: 2024-09-18 11:11:13,795:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,797:      pdf_renderer.py:  470: printSegment: The model determines both the equilibrium nominal exchange rate and the equilibrium real
   DEBUG: 2024-09-18 11:11:13,798:      pdf_renderer.py:  470: printSegment: exchange rate, holding price levels constant.
   DEBUG: 2024-09-18 11:11:13,798:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,800:      pdf_renderer.py:  470: printSegment: The demand for Australian dollars represents the demand by foreign households and firms for
   DEBUG: 2024-09-18 11:11:13,800:      pdf_renderer.py:  470: printSegment: Australian goods and Australian financial assets.
   DEBUG: 2024-09-18 11:11:13,801:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,805:      pdf_renderer.py:  470: printSegment: The supply of dollars in exchange for a foreign currency is determined by the willingness of
   DEBUG: 2024-09-18 11:11:13,805:      pdf_renderer.py:  470: printSegment: households and firms that own dollars to exchange them for the foreign currency.
   DEBUG: 2024-09-18 11:11:13,806:      pdf_renderer.py:  470: printSegment: Explaination
   DEBUG: 2024-09-18 11:11:13,806:      pdf_renderer.py:  470: printSegment: Two countries
   DEBUG: 2024-09-18 11:11:13,807:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,807:      pdf_renderer.py:  470: printSegment: Domenstic -> interest rate $i^D$
   DEBUG: 2024-09-18 11:11:13,807:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,808:      pdf_renderer.py:  470: printSegment: Foreign -> intereate rate $i^F$
   DEBUG: 2024-09-18 11:11:13,808:      pdf_renderer.py:  470: printSegment: $$
   DEBUG: 2024-09-18 11:11:13,809:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,809:      pdf_renderer.py:  470: printSegment: E
   DEBUG: 2024-09-18 11:11:13,809:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,810:      pdf_renderer.py:  470: printSegment: t 
   DEBUG: 2024-09-18 11:11:13,810:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,811:      pdf_renderer.py:  470: printSegment: text{ : current exchange rate} 
   DEBUG: 2024-09-18 11:11:13,811:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,811:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,812:      pdf_renderer.py:  470: printSegment: E^e
   DEBUG: 2024-09-18 11:11:13,812:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,812:      pdf_renderer.py:  470: printSegment: {t+1} 
   DEBUG: 2024-09-18 11:11:13,813:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,813:      pdf_renderer.py:  470: printSegment: text{ : future expected exchange rate}
   DEBUG: 2024-09-18 11:11:13,814:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,814:      pdf_renderer.py:  470: printSegment: $$
   DEBUG: 2024-09-18 11:11:13,815:      pdf_renderer.py:  470: printSegment: $$
   DEBUG: 2024-09-18 11:11:13,815:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,815:      pdf_renderer.py:  470: printSegment: text{Expected rate of app/dep} = 
   DEBUG: 2024-09-18 11:11:13,816:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,816:      pdf_renderer.py:  470: printSegment: frac{E^e
   DEBUG: 2024-09-18 11:11:13,817:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,817:      pdf_renderer.py:  470: printSegment: {t+1} - E
   DEBUG: 2024-09-18 11:11:13,818:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,818:      pdf_renderer.py:  470: printSegment: t}{E
   DEBUG: 2024-09-18 11:11:13,818:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,819:      pdf_renderer.py:  470: printSegment: t}$$
   DEBUG: 2024-09-18 11:11:13,821:      pdf_renderer.py:  470: printSegment: Now, if this expected rate is positive, we will expect an appreciation, while if it is negative, we expect a depreciation
   DEBUG: 2024-09-18 11:11:13,821:      pdf_renderer.py:  470: printSegment: in the domestic currency.
   DEBUG: 2024-09-18 11:11:13,822:      pdf_renderer.py:  470: printSegment: Then, we can calculate returns in terms of foreign currency.
   DEBUG: 2024-09-18 11:11:13,823:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,823:      pdf_renderer.py:  470: printSegment: Expected returns on domestic assets in terms of foreign currency.
   DEBUG: 2024-09-18 11:11:13,824:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,824:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,825:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,825:      pdf_renderer.py:  470: printSegment: displaystyle R^D = i^D + 
   DEBUG: 2024-09-18 11:11:13,826:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,826:      pdf_renderer.py:  470: printSegment: frac{E^e
   DEBUG: 2024-09-18 11:11:13,827:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,827:      pdf_renderer.py:  470: printSegment: {t+1} - E
   DEBUG: 2024-09-18 11:11:13,828:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,828:      pdf_renderer.py:  470: printSegment: t}{E
   DEBUG: 2024-09-18 11:11:13,833:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,833:      pdf_renderer.py:  470: printSegment: t}$
   DEBUG: 2024-09-18 11:11:13,833:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,835:      pdf_renderer.py:  470: printSegment: Note that the second term is gain/loss made by foreigners from converting foreign
   DEBUG: 2024-09-18 11:11:13,836:      pdf_renderer.py:  470: printSegment: currency into domestic currency
   DEBUG: 2024-09-18 11:11:13,836:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,837:      pdf_renderer.py:  470: printSegment: $R^D > R^F 
   DEBUG: 2024-09-18 11:11:13,837:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,837:      pdf_renderer.py:  470: printSegment: implies 
   DEBUG: 2024-09-18 11:11:13,838:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,838:      pdf_renderer.py:  470: printSegment: uparrow 
   DEBUG: 2024-09-18 11:11:13,839:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,839:      pdf_renderer.py:  470: printSegment: text{Demand for domestic assets}$
   DEBUG: 2024-09-18 11:11:13,840:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,841:      pdf_renderer.py:  470: printSegment: Hence, in the equilibriun $R^D = R^F$
   DEBUG: 2024-09-18 11:11:13,841:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,842:      pdf_renderer.py:  470: printSegment: This would imply that in the equilibrium
   DEBUG: 2024-09-18 11:11:13,842:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,843:      pdf_renderer.py:  470: printSegment: $
   DEBUG: 2024-09-18 11:11:13,843:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,844:      pdf_renderer.py:  470: printSegment: displaystyle i^D + 
   DEBUG: 2024-09-18 11:11:13,844:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,845:      pdf_renderer.py:  470: printSegment: frac{E^e
   DEBUG: 2024-09-18 11:11:13,845:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,846:      pdf_renderer.py:  470: printSegment: {t+1} - E
   DEBUG: 2024-09-18 11:11:13,846:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,847:      pdf_renderer.py:  470: printSegment: t}{E
   DEBUG: 2024-09-18 11:11:13,847:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,848:      pdf_renderer.py:  470: printSegment: t} = i^F$
   DEBUG: 2024-09-18 11:11:13,848:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,849:      pdf_renderer.py:  470: printSegment: Expected returns on foreign assets in terms of foreign currency.
   DEBUG: 2024-09-18 11:11:13,850:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-09-18 11:11:13,850:      pdf_renderer.py:  470: printSegment: Well, the second case is fairly trivial, it is simply just $R^F = i^F$
   DEBUG: 2024-09-18 11:11:13,851:      pdf_renderer.py:  470: printSegment: Hence, we get the following with simple arithematic:
   DEBUG: 2024-09-18 11:11:13,852:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-09-18 11:11:13,852:      pdf_renderer.py:  470: printSegment: $$E
   DEBUG: 2024-09-18 11:11:13,853:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,853:      pdf_renderer.py:  470: printSegment: t = 
   DEBUG: 2024-09-18 11:11:13,854:      pdf_renderer.py:  470: printSegment: \
   DEBUG: 2024-09-18 11:11:13,854:      pdf_renderer.py:  470: printSegment: frac{E^e
   DEBUG: 2024-09-18 11:11:13,855:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-09-18 11:11:13,855:      pdf_renderer.py:  470: printSegment: {t+1}}{i^F - i^D + 1}$$
   DEBUG: 2024-09-18 11:11:13,856:      pdf_renderer.py:  470: printSegment:  
